block_number, magic_number, block_size, version, previous_block_hash, merkle_root, time, bits, nonce
blk00014.dat,D9B4BEF9,0003CCC0,00000001,00000000000006423D51BE8E58DE95F1BB9143D5443AF8BFF56F577C9614EAC4,16A71FF8B37588EABB2E9497531729E9DE4900C5689A1B7A32E6F6B31BB2FC63,4FE2CB48,1A09B78A,8B1FB0E4
blk00034.dat,D9B4BEF9,000399B0,00000002,000000000000015D45FE496EBCC9F398EA268EC07F4A10650E7F574310B833CD,E27D03A1D386C0F86EC789293D2E7D37831E6E024B8215E9320E6933C1261557,50DB1F1F,1A05A16B,3611338F
blk00040.dat,D9B4BEF9,0003CC9D,00000002,000000000000051E983F0CDB9FFA4DDC741858D1BC920F7BFD38E41DD4B86B09,B38245CCB87BD18060390137D6CA1AB24BC4A7E20911BC77209A8E0BCEE556F8,510E1148,1A05A6B1,0A0A2E28
blk00029.dat,D9B4BEF9,00051E74,00000002,00000000000001D179E8E37BE00AC219F6DDC59B32E73B1C27F31F79285A2265,EE44F0E8A6E0EDEABEA86C667A281B27D2A62C6042D69C77CC1A4D8232EA53A9,50A50ABA,1A04FAEB,1743BB00
blk00047.dat,D9B4BEF9,00042AE2,00000002,00000000000003553A2C54F58AE63DDAD6DB83F60B65DE8198BD034F977D97FC,E2E77B1D912DD221C56DA05909F3390B07A3D1CC002CCFBAF466ED0110CEC051,513C8EFF,1A03D74B,B5C0F48A
blk00031.dat,D9B4BEF9,0001FD47,00000002,00000000000003FFB4E745633B6145D02709FA3BAF32645A430548073F6D2C47,19F1FC53B91109946E5E3DE8C17DB393BE7E4761A1F69217BA73AA1322863964,50BB8153,1A04E0EA,AB796150
blk00015.dat,D9B4BEF9,0001FD3B,00000001,00000000000001FD9DBE855AC1733DB654B19CE32C60EBD23CD1C1C018EEFB18,84303EB179C66E6F7B1740793CC0270D7071FA825AE2AC507402468D44D0A576,4FF2EE00,1A09B78A,D98A8915
blk00013.dat,D9B4BEF9,0003CD3E,00000001,00000000000008173BD4653053DFE0FC1720538163D95E0711F9ACE3D7DC44B4,0D4FEEAFAD7F4B3223E444DDB23F6B39A74C0627C5A1E8F2A01A480095217CCB,4FD9B625,1A0A98D6,2A10ADBA
blk00042.dat,D9B4BEF9,0003CD5E,00000002,00000000000002036AFABDCDB24679E962994802CC6821ECE6FE313E387CEE7E,E24A04F45F6268584571BEA18E4686D8539B4A52A15A60BF53A48B80254AA6BC,511BFE6A,1A051F3C,2D92ED71
blk00037.dat,D9B4BEF9,000309DA,00000002,000000000000046F3035D45E55B61382E59D9AD0081A62604DCB9D45EE2EDB73,6DBF7FC76632016CD3AD585B3127E878E13A48666B3EE983EA349F53FED1BF0D,50F6EBE8,1A0529B1,B683B458
blk00044.dat,D9B4BEF9,0000ABAB,00000001,000000000000002F7D8121C167CA2119987B5CC7C2FBCEF765013F3799D05E6B,5526914DDC6BBA20ABC1E8EB4D216A91E0B9B1A588D96FF58B27AA82583182AB,5129E25C,1A04985C,55224BAF
blk00025.dat,D9B4BEF9,0003CCF7,00000002,000000000000041279BC7A4EF55AB97151E18288525F2CEF342B4E8F31FAB8AB,7441490A699BEE1963B8623E45C0992A5BBBCE03D97D4EFD8EFC2FFDB3422348,5071B757,1A057E08,F74F1435
blk00043.dat,D9B4BEF9,0001A7EE,00000002,00000000000002F5784CFB6F5ABF9A62CD427A53F0574EB4F61F6F947EA10EA7,346BD10F5C69BD1B299F40F1A0B61524222750598528FCFA09368F9B5C4E46AC,51234A15,1A04985C,109AFBF5
